id_cliente,zona,pais,tipo_de_producto,canal_de_venta,prioridad,fecha_pedido,id_pedido,fecha_envio,unidades,precio_unitario,coste_unitario,importe_venta_total,importe_coste_total
C2421,Europa,United Kingdom,Snacks,Offline,Critica,44116,242113196,44165,5530,152.58,97.44,843767.4,538843.2
C1908,Europa,Malta,Carnicos,Online,Alta,43856,190800607,43858,994,421.89,364.69,419358.66,362501.86
C7652,Australia y Oceania,Marshall Islands,Cereales,Online,Critica,44144,765228068,44156,6845,205.7,117.11,1408016.5,801617.95
C2326,Africa,Iran,Frutas,Offline,Baja,44429,232631909,44471,9806,9.33,6.92,91489.98,67857.52
C5305,Centroamerica y Caribe,Guatemala,Alimento infantil,Offline,Media,44834,530560958,44877,3633,255.28,159.42,927432.24,579172.86
C5168,Centroamerica y Caribe,Grenada,Bebida,Offline,Baja,44582,516876542,44613,4110,47.45,31.79,195019.5,130656.9
C9197,Australia y Oceania,Fiji,Snacks,Offline,Media,44609,919752490,44619,4056,152.58,97.44,618864.4800000001,395216.64
C2876,Africa,Tunisia,Cosmeticos,Offline,Media,43911,287675130,43958,8319,437.2,263.33,3637066.8,2190642.27
C8394,Centroamerica y Caribe,Grenada,Cuidado personal,Offline,Critica,44240,839443290,44287,8779,81.73,56.67,717507.67,497505.93
C8141,Australia y Oceania,Australia,Material de oficina,Online,Media,44362,814168298,44389,9347,651.21,524.96,6086859.87,4906801.12
C3212,Norteamerica,Greenland,Cosmeticos,Online,Alta,44757,321273982,44803,966,437.2,263.33,422335.2,254376.78
C8904,Africa,Angola,Snacks,Online,Critica,43964,890496671,43987,6609,152.58,97.44,1008401.2200000001,643980.96
C5218,Africa,Zambia,Bebida,Offline,Critica,44322,521885192,44338,6281,47.45,31.79,298033.45,199672.99
C4358,Africa,Kenya,Verduras,Offline,Alta,44142,435800874,44190,2018,154.06,90.93,310893.08,183496.74000000002
C1229,Africa,Azerbaijan,Frutas,Offline,Critica,44489,122917544,44517,2888,9.33,6.92,26945.04,19984.96
C4942,Africa,Mozambique,Cuidado personal,Offline,Critica,44490,494221532,44518,9989,81.73,56.67,816400.9700000001,566076.63
C7310,Australia y Oceania,Federated States of Micronesia,Cosmeticos,Offline,Critica,43940,731011664,43951,1451,437.2,263.33,634377.2,382091.82999999996
C5348,Centroamerica y Caribe,Dominican Republic,Snacks,Offline,Critica,44868,534899270,44869,7436,152.58,97.44,1134584.8800000001,724563.84
C5778,Africa,Libya,Material de oficina,Online,Alta,44752,577808177,44764,5135,651.21,524.96,3343963.35,2695669.6
C2519,Asia,Uzbekistan,Material de oficina,Online,Baja,44348,251974713,44368,3772,651.21,524.96,2456364.12,1980149.12
C8199,Asia,Sri Lanka,Cuidado personal,Offline,Media,44040,819947707,44079,9602,81.73,56.67,784771.4600000001,544145.34
C4645,Africa,The Gambia,Cosmeticos,Online,Critica,44355,464588487,44402,912,437.2,263.33,398726.39999999997,240156.96
C1390,Asia,Myanmar,Snacks,Offline,Media,44403,139070880,44412,3019,152.58,97.44,460639.02,294171.36
C4168,Asia,Bhutan,Ropa,Online,Critica,44484,416881215,44490,3270,109.28,35.84,357345.6,117196.80000000002
C1418,Africa,Mali,Verduras,Online,Critica,44523,141818320,44529,6047,154.06,90.93,931600.8200000001,549853.7100000001
C4779,Africa,Burundi,Cuidado personal,Online,Alta,44592,477993524,44632,7761,81.73,56.67,634306.53,439815.87
C8598,Africa,Libya,Ropa,Offline,Alta,44388,859830653,44413,1852,109.28,35.84,202386.56,66375.68000000001
C3420,Africa,Nigeria,Ropa,Offline,Critica,44799,342066037,44845,3797,109.28,35.84,414936.16000000003,136084.48
C7497,Europa,Norway,Domestico,Online,Critica,44248,749748504,44271,6098,668.27,502.54,4075110.46,3064488.92
C8282,Africa,Kenya,Cosmeticos,Offline,Media,44438,828239381,44477,3293,437.2,263.33,1439699.5999999999,867145.69
C2932,Australia y Oceania,Papua New Guinea,Verduras,Online,Alta,44611,293212497,44629,6948,154.06,90.93,1070408.8800000001,631781.64
C2806,Asia,North Korea,Cuidado personal,Offline,Baja,44152,280654180,44198,663,81.73,56.67,54186.990000000005,37572.21
C1968,Europa,Montenegro,Ropa,Offline,Media,44160,196863257,44205,5067,109.28,35.84,553721.76,181601.28000000003
C8684,Europa,Norway,Frutas,Offline,Alta,44840,868451058,44842,2822,9.33,6.92,26329.26,19528.24
C4923,Africa,Lesotho,Ropa,Offline,Baja,43928,492341411,43975,3619,109.28,35.84,395484.32,129704.96
C4857,Asia,Indonesia,Carnicos,Online,Alta,44532,485770642,44545,9183,421.89,364.69,3874215.8699999996,3348948.27
C5362,Africa,Iraq,Bebida,Online,Alta,44163,536287581,44193,8268,47.45,31.79,392316.60000000003,262839.72
C8517,Asia,Singapore,Cereales,Online,Critica,44654,851753556,44693,1660,205.7,117.11,341462,194402.6
C8103,Asia,South Korea,Verduras,Online,Media,44331,810342395,44347,7177,154.06,90.93,1105688.62,652604.6100000001
C3105,Africa,Lebanon,Domestico,Online,Baja,44799,310540425,44805,4668,668.27,502.54,3119484.36,2345856.72
C2211,Asia,Myanmar,Frutas,Online,Alta,44158,221146476,44196,1011,9.33,6.92,9432.63,6996.12
C1312,Asia,Vietnam,Ropa,Online,Alta,44827,131271874,44831,5120,109.28,35.84,559513.6,183500.80000000002
C6003,Africa,Jordan,Frutas,Online,Baja,44676,600340449,44714,2935,9.33,6.92,27383.55,20310.2
C9080,Australia y Oceania,Palau,Material de oficina,Offline,Baja,44854,908088529,44887,2430,651.21,524.96,1582440.3,1275652.8
C4045,Centroamerica y Caribe,Antigua and Barbuda,Cereales,Offline,Critica,44047,404564940,44071,8611,205.7,117.11,1771282.7,1008434.21
C7601,Australia y Oceania,Papua New Guinea,Cuidado personal,Offline,Baja,44217,760131013,44224,8513,81.73,56.67,695767.49,482431.71
C1154,Centroamerica y Caribe,El Salvador,Ropa,Offline,Media,44867,115460574,44884,6205,109.28,35.84,678082.4,222387.2
